10,1,2412215,94422,school,2010-03-01 10:18:42.216054
40,1,3457815,20386,philosophical,2010-03-01 10:19:33.175966
17,3,1555601,20386,founder,2010-03-01 10:19:56.805208
12,1,1694443,20386,literal,2010-03-01 10:20:29.051325
34,1,1134768,20386,parliament,2010-03-01 10:20:47.314863
78,6,1993856,20386,sun,2010-03-01 10:21:22.484045
131,1,2412215,97572,students,2010-03-01 10:21:57.536047
5,7,14575084,97572,november,2010-03-01 10:22:22.165335
145,5,4759280,97572,books,2010-03-01 10:22:40.921738
139,1,14560632,97572,discusses,2010-03-01 10:22:46.777171
127,1,16832906,97572,classes,2010-03-01 10:22:52.440830
87,9,16960327,97572,company,2010-03-01 10:23:04.174980
1,8,1694443,20386,greek,2010-03-01 10:23:19.486447
6,9,6783122,20386,union,2010-03-01 10:23:57.245944
142,8,16832906,97572,families,2010-03-01 10:23:57.629840
96,3,2511680,97572,runners,2010-03-01 10:24:03.014756
17,4,23031236,97572,founded,2010-03-01 10:24:10.089231
61,1,16489284,97572,supervisor,2010-03-01 10:24:14.915509
79,9,3502490,97572,medals,2010-03-01 10:24:33.495280
22,9,25269665,59392,event,2010-03-01 10:24:45.869057
27,3,17106338,59392,phil,2010-03-01 10:24:54.056865
26,1,1202843,59392,michigan,2010-03-01 10:24:58.491462
49,5,2830398,71585,advanced,2010-03-01 10:25:46.154364
60,3,6582949,71585,france,2010-03-01 10:25:59.728562
131,1,22039909,71585,lighthouse,2010-03-01 10:26:05.068347
4,1,1790454,59392,station,2010-03-01 10:26:09.194605
119,9,6783122,71585,following,2010-03-01 10:26:13.073736
54,1,6241381,71585,murphy,2010-03-01 10:26:16.203271
8,6,20546825,59392,writer,2010-03-01 10:26:19.776049
22,9,1170090,20386,runner,2010-03-01 10:26:24.627096
51,5,2428280,71585,death,2010-03-01 10:26:28.202124
146,2,6293491,71585,discovered,2010-03-01 10:26:41.023184
25,1,22343988,71585,brigade,2010-03-01 10:26:47.883604
5,1,3644983,15996,grammar,2010-03-01 10:27:45.334126
111,5,2311927,76479,running,2010-03-01 10:27:49.980217
74,8,2511680,74948,considered,2010-03-01 10:27:58.756125
24,2,23031236,15996,band,2010-03-01 10:28:21.774110
17,2,2207302,31810,november,2010-03-01 10:28:40.299813
142,1,1778867,37696,assembly,2010-03-01 10:28:49.172786
12,5,1052724,59392,africa,2010-03-01 10:28:51.572668
7,9,1916085,59392,cyprus,2010-03-01 10:29:08.370765
105,7,3644983,31810,remained,2010-03-01 10:29:11.728807
47,5,22039909,31810,besides,2010-03-01 10:29:13.769964
99,7,1611839,31810,actor,2010-03-01 10:29:16.218420
12,5,11708861,59392,village,2010-03-01 10:29:18.675049
134,4,21944168,31810,shuttle,2010-03-01 10:29:19.777172
105,3,1611839,31810,1988,2010-03-01 10:29:29.168341
88,1,2526507,76479,william,2010-03-01 10:29:30.309603
20,1,6241381,31810,formed,2010-03-01 10:29:36.771928
3,4,1790454,59392,power,2010-03-01 10:29:38.478608
23,8,6293491,31810,strategic,2010-03-01 10:29:42.651179
71,3,1202843,31810,county,2010-03-01 10:29:48.617187
81,8,392126,31810,austin,2010-03-01 10:29:53.365679
2,9,1468738,59392,regiment,2010-03-01 10:30:16.077549
13,3,1252481,76479,coach,2010-03-01 10:30:18.587486
26,2,2207302,59392,actor,2010-03-01 10:30:35.434912
105,0,11551149,97879,neighbouring,2010-03-01 10:30:37.833823
141,1,2002702,97879,german,2010-03-01 10:30:45.425750
26,6,1694443,97879,equivalent,2010-03-01 10:30:50.385305
59,1,1449677,97879,history,2010-03-01 10:30:55.317733
91,5,2812343,97879,scouting,2010-03-01 10:31:00.704683
57,5,6241381,97879,entered,2010-03-01 10:31:10.218834
94,7,14426763,97879,notable,2010-03-01 10:31:19.759688
15,1,22343988,97879,andrew,2010-03-01 10:31:23.830170
10,2,2624124,37696,radio,2010-03-01 10:31:41.689150
112,3,1755222,25463,won,2010-03-01 10:32:00.579632
13,1,3457815,15996,knowledge,2010-03-01 10:32:02.017581
58,3,1302003,25463,role,2010-03-01 10:32:07.351356
97,1,6582949,25463,simulation,2010-03-01 10:32:14.390675
99,1,1829145,25463,mathematical,2010-03-01 10:32:17.226285
24,0,4558817,37696,architects,2010-03-01 10:32:17.331932
145,9,1449677,25463,capacity,2010-03-01 10:32:21.140458
69,1,2412215,25463,2001,2010-03-01 10:32:24.431574
100,1,4558817,25463,education,2010-03-01 10:32:29.024302
36,9,6696935,37696,academy,2010-03-01 10:32:36.692644
57,2,16832906,25463,heavy,2010-03-01 10:32:38.596843
96,2,1611839,25463,1988,2010-03-01 10:32:41.228755
59,9,1183489,25463,taking,2010-03-01 10:32:43.119824
1,3,2812343,33261,scouting,2010-03-01 10:32:54.197521
17,9,16591946,15996,dynasty,2010-03-01 10:32:59.891574
137,1,4596641,33261,statistics,2010-03-01 10:33:34.443319
16,3,6241381,76479,racing,2010-03-01 10:33:38.446784
143,1,392126,37696,hemisphere,2010-03-01 10:34:11.640999
23,9,2745973,74390,southern,2010-03-01 10:34:18.602506
82,9,14320932,33261,campaign,2010-03-01 10:34:23.237195
11,3,3502490,15996,american,2010-03-01 10:34:26.859038
28,2,11551149,74390,approximately,2010-03-01 10:34:53.036631
19,9,16960327,15996,american,2010-03-01 10:35:00.872384
49,9,1194442,74390,airport,2010-03-01 10:35:03.369674
103,3,2311927,33261,punishment,2010-03-01 10:35:13.616656
139,7,1252481,74390,joined,2010-03-01 10:35:18.651358
124,1,2412215,37696,school,2010-03-01 10:35:22.226096
119,8,392126,74390,1998,2010-03-01 10:35:40.584744
97,6,16489284,74390,assistant,2010-03-01 10:35:45.570848
92,7,14426763,15996,1998,2010-03-01 10:35:47.497706
7,0,16067545,76479,archipelago,2010-03-01 10:35:52.604702
19,4,1376598,74390,british,2010-03-01 10:35:52.662234
53,1,4599988,37696,education,2010-03-01 10:35:56.970881
59,9,21944168,33261,aircraft,2010-03-01 10:36:08.735829
96,4,4087691,74390,dwight,2010-03-01 10:36:22.392064
112,9,465646,37696,revenge,2010-03-01 10:36:46.475667
13,3,2549883,15996,team,2010-03-01 10:36:47.395481
12,2,2428280,15996,businessman,2010-03-01 10:37:29.518266
59,1,14311866,76479,pathology,2010-03-01 10:37:41.477149
9,9,16067545,37696,french,2010-03-01 10:38:03.925125
47,9,458577,15996,roman,2010-03-01 10:38:26.175123
16,1,6582949,26926,algorithms,2010-03-01 10:38:41.405585
2,4,17106338,15996,jack,2010-03-01 10:38:44.245605
22,7,1267927,26926,reported,2010-03-01 10:39:04.978789
106,9,6404316,33261,quarries,2010-03-01 10:39:12.470734
66,7,1555601,26926,finishing,2010-03-01 10:39:20.818014
63,6,1134768,26926,society,2010-03-01 10:39:23.734394
10,4,1376598,76479,engine,2010-03-01 10:39:24.994134
14,9,1183489,26926,described,2010-03-01 10:39:31.124522
15,3,1302003,26926,capital,2010-03-01 10:39:33.966626
19,2,14560632,26926,catholic,2010-03-01 10:39:36.967501
91,1,2428280,26926,stanford,2010-03-01 10:40:09.930953
95,2,16832906,26926,land,2010-03-01 10:40:13.159928
54,9,465646,26926,renown,2010-03-01 10:40:23.129154
1,6,4755276,18389,conference,2010-03-01 10:40:26.946813
2,1,3644983,33261,school,2010-03-01 10:40:59.360550
6,9,4204282,33261,israeli,2010-03-01 10:41:25.157011
21,0,6783122,18389,agreement,2010-03-01 10:41:27.065213
100,4,1376598,6062,enlarged,2010-03-01 10:42:20.320844
57,9,1449677,6062,command,2010-03-01 10:42:30.990487
101,1,11551149,6062,catholic,2010-03-01 10:42:51.656670
130,7,22227701,6062,outstanding,2010-03-01 10:42:54.464289
99,9,2002702,6062,war,2010-03-01 10:42:57.251581
93,1,392126,76479,subspecies,2010-03-01 10:43:00.367097
106,7,14560632,6062,left,2010-03-01 10:43:05.062508
9,8,1611839,40946,american,2010-03-01 10:43:05.253564
136,9,16489284,6062,yugoslavia,2010-03-01 10:43:11.410236
13,3,1823364,18389,award,2010-03-01 10:43:29.174442
76,9,110797,76479,daniel,2010-03-01 10:43:34.759213
18,5,2745973,6062,tower,2010-03-01 10:44:01.102727
96,1,4155174,6062,college,2010-03-01 10:44:09.408514
4,6,4755276,18389,protection,2010-03-01 10:44:15.547482
55,8,2526507,6062,commercial,2010-03-01 10:44:18.924275
62,5,14426763,6062,equal,2010-03-01 10:44:35.396527
22,4,2207302,40946,chinese,2010-03-01 10:44:53.142221
14,1,1829145,40946,artificial,2010-03-01 10:45:42.712505
54,6,2745973,72191,water,2010-03-01 10:45:47.685211
124,9,1252481,72191,1995,2010-03-01 10:45:53.889653
36,4,1376598,72191,engine,2010-03-01 10:46:15.176555
128,5,22227701,72191,award,2010-03-01 10:46:27.276176
96,1,1694443,72191,picked,2010-03-01 10:46:31.569867
56,6,2311927,72191,execution,2010-03-01 10:46:35.528527
112,1,4596641,72191,zone,2010-03-01 10:47:18.096840
87,8,1694443,72191,life,2010-03-01 10:47:20.231420
120,3,1194442,72191,liverpool,2010-03-01 10:47:33.977597
94,9,6685764,72191,story,2010-03-01 10:47:42.766506
134,9,2549883,76479,1963,2010-03-01 10:47:56.977942
81,1,1170090,72191,louisiana,2010-03-01 10:47:58.229930
14,2,1993856,72191,referred,2010-03-01 10:48:02.670654
19,0,1194442,18389,network,2010-03-01 10:48:14.554024
113,9,14320932,15948,announcement,2010-03-01 10:49:09.718593
2,2,14560632,18389,guy,2010-03-01 10:49:18.777581
104,2,1872462,15948,travel,2010-03-01 10:49:21.324360
91,2,1778867,15948,newfoundland,2010-03-01 10:49:23.435830
23,1,6582949,40946,phenomena,2010-03-01 10:49:24.191802
110,3,11551149,15948,methodist,2010-03-01 10:49:25.490154
109,3,2511680,15948,traditionally,2010-03-01 10:49:27.410368
135,7,6450617,15948,return,2010-03-01 10:49:30.773592
143,4,4080088,15948,western,2010-03-01 10:49:34.354114
130,1,22858322,15948,caused,2010-03-01 10:49:36.390934
108,2,2624124,15948,air,2010-03-01 10:49:40.934504
99,9,22343988,15948,september,2010-03-01 10:49:43.244563
64,4,2549883,15948,vicar,2010-03-01 10:49:45.542097
66,2,14560632,15948,news,2010-03-01 10:49:55.672472
54,2,4155174,18389,music,2010-03-01 10:49:55.945021
56,1,2624124,15948,1968,2010-03-01 10:50:03.147232
41,8,2549883,40946,black,2010-03-01 10:51:35.833638
21,9,2002702,67304,war,2010-03-01 10:51:40.976786
87,7,6404316,67304,date,2010-03-01 10:51:51.634511
4,0,1183489,67304,pass,2010-03-01 10:52:03.061447
2,2,11551149,84208,church,2010-03-01 10:53:04.269193
15,4,4204282,67304,program,2010-03-01 10:54:24.235525
134,7,117886,67304,african,2010-03-01 10:54:41.714612
126,1,6685764,84208,nature,2010-03-01 10:54:53.490998
22,7,1778867,67304,newfoundland,2010-03-01 10:54:57.161277
99,0,4087691,67304,experience,2010-03-01 10:55:14.160438
142,5,1302003,67304,connection,2010-03-01 10:55:17.298522
146,5,11708861,67304,harper,2010-03-01 10:55:19.750786
101,1,1916085,67304,cyprus,2010-03-01 10:55:29.318064
98,7,2428280,67304,james,2010-03-01 10:55:32.940647
16,1,4168853,18389,simon,2010-03-01 10:55:46.879758
17,9,4599988,40946,activist,2010-03-01 10:55:53.998142
5,0,17106338,18389,manor,2010-03-01 10:56:29.827124
29,3,2311927,40946,soldiers,2010-03-01 10:56:56.436858
99,1,2549883,40946,established,2010-03-01 10:58:45.613362
3,1,4759280,84208,mutant,2010-03-01 10:58:52.410728
47,9,4204282,84208,war,2010-03-01 11:00:01.862527
22,9,465646,84208,navy,2010-03-01 11:00:24.730579
55,9,22343988,84208,war,2010-03-01 11:00:36.974745
14,8,2812343,40946,countries,2010-03-01 11:01:03.819644
8,5,117886,40946,county,2010-03-01 11:01:25.178069
116,4,1790454,84208,bridge,2010-03-01 11:02:29.210570
48,3,2549883,86380,club,2010-03-01 11:05:00.417667
81,8,16591946,86380,imperial,2010-03-01 11:06:00.302705
27,8,1694443,75496,british,2010-03-01 11:06:23.385338
73,4,1665971,75496,course,2010-03-01 11:06:36.011338
132,9,2428280,75496,war,2010-03-01 11:06:40.405670
146,1,3457815,75496,human,2010-03-01 11:06:43.747814
102,4,1449677,75496,european,2010-03-01 11:06:48.955596
105,4,1790454,75496,visible,2010-03-01 11:06:51.104680
14,2,4155174,12345,organist,2010-03-01 08:52:41.122157
12,3,2511680,12345,sport,2010-03-01 08:52:49.305920
24,3,2549883,12345,stadium,2010-03-01 08:53:07.076490
5,4,110797,40187,adams,2010-03-01 09:03:25.337560
131,1,1829145,40187,intelligence,2010-03-01 09:03:54.432415
12,1,22858322,42618,linux,2010-03-01 09:06:50.275462
133,1,1829145,42618,intelligence,2010-03-01 09:07:24.576899
131,1,11440769,42618,campaign,2010-03-01 09:08:06.030257
120,1,1853181,42618,terminus,2010-03-01 09:08:12.633675
144,1,6783122,42618,agreement,2010-03-01 09:08:18.021392
24,3,3502490,42618,championships,2010-03-01 09:08:27.144517
80,1,22039909,42618,communications,2010-03-01 09:08:36.306412
22,1,20546825,42618,history,2010-03-01 09:08:47.642142
128,1,1829145,42618,applications,2010-03-01 09:09:00.620318
102,1,14320932,42618,presidential,2010-03-01 09:09:06.463549
76,1,4087691,42618,phone,2010-03-01 09:09:22.097308
141,0,1194442,42618,route,2010-03-01 09:09:28.304405
43,1,110797,42618,census,2010-03-01 09:09:33.550521
137,1,14311866,42618,physicians,2010-03-01 09:09:37.754455
11,8,6685764,82402,comic,2010-03-01 09:10:33.747395
14,1,1170090,82402,war,2010-03-01 09:10:51.172737
80,3,17106338,82402,magazine,2010-03-01 09:10:56.102558
20,1,1778867,82402,businessman,2010-03-01 09:11:17.984647
44,0,1853181,82402,railway,2010-03-01 09:11:23.396892
36,3,3502490,82402,olympic,2010-03-01 09:11:37.468135
65,3,1755222,82402,derbyshire,2010-03-01 09:11:59.349927
119,3,14575084,82402,talent,2010-03-01 09:12:19.989134
12,2,11551149,82402,church,2010-03-01 09:12:25.981271
19,8,6717166,82402,transparent,2010-03-01 09:12:35.810730
0,1,2428280,45153,charles,2010-03-01 09:13:18.366043
3,6,4755276,59260,food,2010-03-01 09:16:16.549598
2,3,1755222,45153,derbyshire,2010-03-01 09:16:51.284454
81,8,1829145,26016,simply,2010-03-01 09:17:02.421521
